representation,task,causal_position_bucket,layer,pseudocount,fit_rows_seen,validation_rows_seen,fit_rows,validation_rows,components,dirichlet_converged,dirichlet_iterations,dirichlet_concentration,dirichlet_average_log_likelihood,logistic_normal_average_log_likelihood,dirichlet_minus_logistic_normal_nats,dirichlet_train_aic_per_row,logistic_normal_train_aic_per_row,mean_l1_error,covariance_relative_frobenius_error,positive_offdiagonal_covariance_fraction,positive_offdiagonal_covariance_mass_ratio,moment_concentration_coefficient_of_variation,nll_pit_ks_statistic,nll_pit_ks_pvalue,nll_tail_probability_below_001_fraction,nll_tail_probability_below_005_fraction
provenance,Data2txt,0,14,1e-06,576,288,576,288,6,True,23,16.206283252636254,33.691774479819735,45.041119482253094,-11.349345002433356,-67.63981168338361,-90.21612586738678,0.0712118617232258,0.42727635834057026,0.0,8.032038440603022e-36,0.9999720240651608,0.4883897569444444,7.689911035076932e-64,0.0,0.0
provenance,Data2txt,0,14,0.0001,576,288,576,288,6,True,21,19.19094923007109,21.563255694580306,31.23537703903611,-9.672121344455803,-43.42716540507365,-62.60493323143654,0.07834227476371186,0.5102139928630128,0.0,1.9890759468246216e-33,0.9999997194862557,0.3704698350694444,5.659486631060455e-36,0.0,0.0
provenance,Data2txt,0,14,0.001,576,288,576,288,6,True,26,23.26260840072046,16.075240718784933,24.41271271475557,-8.337471995970642,-32.508480949022456,-48.96215283150367,0.08358209028206337,0.5888379177746709,0.0,4.467237822702029e-31,0.999999971261135,0.341796875,1.5423169799673537e-30,0.0,0.003472222222222222
provenance,Data2txt,0,15,1e-06,576,288,576,288,6,True,24,11.578475707320287,33.95921540348089,44.921347942137714,-10.962132538656823,-68.11781824032401,-89.97714334565019,0.04813570927460103,0.4109811604219376,0.06666666666666667,0.0055294286490522575,0.9999855825476806,0.44124348958333337,1.3880127416620527e-51,0.0,0.0
provenance,Data2txt,0,15,0.0001,576,288,576,288,6,True,24,13.820464235845836,21.74957821207815,31.155051615342895,-9.40547340326475,-43.7370795103009,-62.44393110497989,0.0685367834435304,0.5045650964395478,0.06666666666666667,0.005529428649052255,0.9999998554430899,0.3314073350694444,1.0881254394126794e-28,0.0,0.0
provenance,Data2txt,0,15,0.001,576,288,576,288,6,True,29,17.217103690699446,16.12711006128181,24.443766375911824,-8.316656314630015,-32.53769546890674,-49.02631801535243,0.08387615231982695,0.5939900690641395,0.06666666666666667,0.005529428649052254,0.9999999851950429,0.292724609375,2.3351537138767253e-22,0.0,0.020833333333333332
provenance,Data2txt,0,16,1e-06,576,288,576,288,6,True,23,12.644620456328688,34.09299138510677,45.17398406794705,-11.080992682840282,-68.35234902638,-90.49976291856154,0.0472768816216573,0.6462131824054803,0.0,1.0674514131322061e-35,0.9999852948370427,0.45138888888888884,4.3219598143590806e-54,0.0,0.0
provenance,Data2txt,0,16,0.0001,576,288,576,288,6,True,24,15.07455349804345,21.92021803726313,31.39361086638972,-9.473392829126595,-44.019405813868296,-62.933963033477056,0.06367529767315164,0.6889281516449751,0.0,1.044635599766475e-33,0.9999998525586283,0.3925238715277778,1.7007209513478313e-40,0.003472222222222222,0.013888888888888888
provenance,Data2txt,0,16,0.001,576,288,576,288,6,True,28,18.59456261944952,16.34982755734722,24.66470559866999,-8.314878041322771,-32.88467383132724,-49.460485007337056,0.0788227651160411,0.7317920106078829,0.0,4.6316467831137265e-31,0.9999999849000721,0.3243272569444444,1.820118660331434e-27,0.041666666666666664,0.04513888888888889
provenance,Data2txt,0,17,1e-06,576,288,576,288,6,True,25,19.146361277734513,34.58158951182064,46.24278533532439,-11.66119582350376,-69.14067664555533,-92.46570803738058,0.029954348049929826,0.3942273610096572,0.06666666666666667,0.019827877231746522,0.9999766063821787,0.45803493923611116,9.02354835872079e-56,0.0,0.0
provenance,Data2txt,0,17,0.0001,576,288,576,288,6,True,24,23.00180063728192,22.507683862999997,32.44585979196345,-9.938175928963453,-44.99547143237142,-64.86768028029756,0.04457910602811041,0.497959960914928,0.06666666666666667,0.01982787723174652,0.9999997653543095,0.349609375,5.703048128554522e-32,0.0,0.0
provenance,Data2txt,0,17,0.001,576,288,576,288,6,True,26,28.476002520267343,17.068589779624663,25.65796891164893,-8.589379132024273,-34.11919610269725,-51.27624833352789,0.05590058488402525,0.5904819835085292,0.06666666666666667,0.019827877231746536,0.9999999758877454,0.29833984375,3.17928649176048e-23,0.0,0.003472222222222222
provenance,Data2txt,0,18,1e-06,576,288,576,288,6,True,23,21.18085392408839,35.28659182501541,46.52353752118314,-11.236945696167727,-70.67488807612308,-93.0350202759384,0.03939703639197033,0.5592283603855969,0.06666666666666667,0.004249723134918008,0.9999716662980438,0.4411078559027778,1.4977268219426306e-51,0.0,0.0
provenance,Data2txt,0,18,0.0001,576,288,576,288,6,True,27,25.896797110250045,23.228687580164998,32.763041762715346,-9.534354182550352,-46.54901082303977,-65.5083557964721,0.04641162662343157,0.6423915055087955,0.06666666666666667,0.004249723134918006,0.9999997153244462,0.3578559027777778,1.602969743924241e-33,0.0,0.003472222222222222
provenance,Data2txt,0,18,0.001,576,288,576,288,6,True,26,33.0071431180255,17.7761736595354,26.051361952875048,-8.275188293339648,-35.6202957162646,-52.057746119806716,0.052326027343501745,0.717194679712945,0.06666666666666667,0.0042497231349180094,0.9999999703080861,0.27072482638888884,3.8947061057535794e-19,0.013888888888888888,0.03125
provenance,Data2txt,0,19,1e-06,576,288,576,288,6,True,23,34.201924830719044,35.656740860186524,47.47240820136941,-11.815667341182893,-71.53978007796796,-94.96302933839792,0.029008109962778465,0.6253647032100115,0.06666666666666667,0.04526955395540645,0.9999643455063696,0.41349283854166663,4.438920326688052e-45,0.0,0.0
provenance,Data2txt,0,19,0.0001,576,288,576,288,6,True,25,42.186247187600976,23.6990083478011,33.68503927856742,-9.986030930766317,-47.66953923863624,-67.38824648804916,0.03506865880141942,0.6986142304712184,0.06666666666666667,0.04526955395540645,0.9999996417597857,0.3388129340277778,5.316036297354006e-30,0.003472222222222222,0.006944444444444444
provenance,Data2txt,0,19,0.001,576,288,576,288,6,True,26,54.10095591756014,18.391436622966026,26.95131235192336,-8.559875728957334,-37.12082459914664,-53.92026794244052,0.040905658185112714,0.7622649931264663,0.06666666666666667,0.04526955395540642,0.9999999626265241,0.278564453125,2.973497801352027e-20,0.024305555555555556,0.04513888888888889
