representation,task,causal_position_bucket,layer,pseudocount,fit_rows_seen,validation_rows_seen,fit_rows,validation_rows,components,dirichlet_converged,dirichlet_iterations,dirichlet_concentration,dirichlet_average_log_likelihood,logistic_normal_average_log_likelihood,dirichlet_minus_logistic_normal_nats,dirichlet_train_aic_per_row,logistic_normal_train_aic_per_row,mean_l1_error,covariance_relative_frobenius_error,positive_offdiagonal_covariance_fraction,positive_offdiagonal_covariance_mass_ratio,moment_concentration_coefficient_of_variation,nll_pit_ks_statistic,nll_pit_ks_pvalue,nll_tail_probability_below_001_fraction,nll_tail_probability_below_005_fraction
provenance,Data2txt,0,9,0.0001,576,288,128,128,6,True,20,19.545493644916544,22.032441292624135,31.35924352439759,-9.326802231773456,-44.30461495290643,-62.558414682954535,0.06795968627055046,0.5022685244083582,0.0,9.981581220719471e-33,0.9999997520987208,0.36328125,1.209705534646815e-15,0.0,0.0
provenance,Data2txt,0,9,0.001,576,288,128,128,6,True,24,24.200175879065846,16.527822931752503,24.631794124640784,-8.103971192888277,-33.34969846540325,-49.17935465394959,0.07416895434755798,0.5939663502131354,0.0,4.521085718080059e-34,0.9999999745034104,0.3359375,2.1947921596940167e-13,0.0,0.0
provenance,Data2txt,0,10,1e-06,576,288,128,128,6,True,25,19.30646227023614,34.27058578690189,45.96530167093606,-11.694715884034167,-68.69886772561803,-91.91198531103367,0.03296016157457422,0.4357299949669683,0.0,4.818791008991386e-35,0.9999765352220904,0.46484375,7.42015100590255e-26,0.0,0.0
provenance,Data2txt,0,10,0.0001,576,288,128,128,6,True,23,23.146830230747504,22.185366857381283,32.178815139307275,-9.993448281925993,-44.55991310938947,-64.3410426752707,0.044344253974207354,0.5179822594530765,0.0,4.61650831082012e-36,0.9999997647391696,0.359375,2.615412053009669e-15,0.0,0.0
provenance,Data2txt,0,10,0.001,576,288,128,128,6,True,25,28.595723768748798,16.74479093668708,25.420147714237686,-8.6753567775506,-33.71135554773108,-50.82384613869595,0.055712021503789365,0.5977830788917979,0.0,1.2123877731227514e-32,0.9999999759150913,0.33203125,4.446104931843403e-13,0.0390625,0.0390625
provenance,Data2txt,0,11,1e-06,576,288,128,128,6,True,23,17.47866643959827,33.95757964968463,45.695396310155566,-11.737816660470934,-68.17974519052231,-91.37696473795782,0.05209431865566596,0.5375899972219265,0.06666666666666667,0.020835231182380547,0.9999713023659896,0.4921875,3.9093247371776895e-29,0.0,0.0
provenance,Data2txt,0,11,0.0001,576,288,128,128,6,True,21,20.811861395107744,21.823106261931187,31.88957517094921,-10.066468909018026,-43.99809131137383,-63.76548049532194,0.061494815601287986,0.609469937017191,0.06666666666666667,0.02083523118238055,0.9999997120609063,0.38671875,9.694174955308428e-18,0.0,0.0
provenance,Data2txt,0,11,0.001,576,288,128,128,6,True,25,25.309236639756612,16.318371007939216,25.062887653273666,-8.744516645334448,-33.097356690416476,-50.114366656232704,0.06903448620047822,0.6746501885453948,0.06666666666666667,0.020835231182380554,0.9999999703275969,0.328125,8.924716016110725e-13,0.0,0.0
provenance,Data2txt,0,12,1e-06,576,288,128,128,6,True,24,15.292258486792417,33.31357097977053,44.882034020144346,-11.568463040373809,-67.1580225840502,-89.82001377424683,0.09283617927475663,0.5410230416392202,0.0,2.2337501652110875e-35,0.9999850637273788,0.44921875,4.348997194110803e-24,0.0,0.0
provenance,Data2txt,0,12,0.0001,576,288,128,128,6,True,26,18.023328450287057,21.144661104711982,31.0735209360382,-9.928859831326218,-42.92000149610459,-62.203678429496165,0.10806106612142721,0.6080583206417597,0.0,6.428019875624216e-33,0.9999998502868398,0.4296875,5.55074371993741e-22,0.0,0.0390625
